,wind_strength,Run,Extinguished,On Fire,Step
289,22.105263157894736,289,9,8,4
290,22.105263157894736,290,7,6,4
291,22.105263157894736,291,4,3,2
292,22.105263157894736,292,9,8,4
293,22.105263157894736,293,9,8,4
294,22.105263157894736,294,4,3,2
295,22.105263157894736,295,7,6,4
296,22.105263157894736,296,7,6,4
297,22.105263157894736,297,9,8,4
298,22.105263157894736,298,9,8,4
299,22.105263157894736,299,9,8,4
300,23.68421052631579,300,7,6,4
301,23.68421052631579,301,4,3,2
302,23.68421052631579,302,4,3,2
303,23.68421052631579,303,4,3,2
304,23.68421052631579,304,9,8,4
305,23.68421052631579,305,4,3,2
306,23.68421052631579,306,9,8,4
307,23.68421052631579,307,4,3,2
308,23.68421052631579,308,9,8,4
309,23.68421052631579,309,4,3,2
310,23.68421052631579,310,9,8,4
311,23.68421052631579,311,4,3,2
312,23.68421052631579,312,4,3,2
313,23.68421052631579,313,4,3,2
314,23.68421052631579,314,9,8,4
315,23.68421052631579,315,4,3,2
316,23.68421052631579,316,8,7,4
317,23.68421052631579,317,8,7,4
318,23.68421052631579,318,7,6,4
319,23.68421052631579,319,9,8,4
320,25.263157894736842,320,4,3,2
321,25.263157894736842,321,4,3,3
322,25.263157894736842,322,4,3,2
323,25.263157894736842,323,8,7,4
324,25.263157894736842,324,9,8,4
325,25.263157894736842,325,4,3,2
326,25.263157894736842,326,4,3,3
327,25.263157894736842,327,4,3,2
328,25.263157894736842,328,4,3,2
329,25.263157894736842,329,4,3,3
330,25.263157894736842,330,9,8,4
331,25.263157894736842,331,3,2,2
332,25.263157894736842,332,3,2,2
333,25.263157894736842,333,4,3,2
334,25.263157894736842,334,7,6,4
335,25.263157894736842,335,4,3,2
336,25.263157894736842,336,3,2,2
337,25.263157894736842,337,7,6,4
338,25.263157894736842,338,4,3,3
339,25.263157894736842,339,4,3,2
340,26.842105263157894,340,3,2,2
341,26.842105263157894,341,4,3,3
342,26.842105263157894,342,4,3,3
343,26.842105263157894,343,4,3,3
344,26.842105263157894,344,3,2,2
345,26.842105263157894,345,3,2,2
346,26.842105263157894,346,4,3,3
347,26.842105263157894,347,3,2,2
348,26.842105263157894,348,4,3,3
349,26.842105263157894,349,3,2,2
350,26.842105263157894,350,3,2,2
351,26.842105263157894,351,3,2,2
352,26.842105263157894,352,3,2,2
353,26.842105263157894,353,4,3,3
354,26.842105263157894,354,4,3,3
355,26.842105263157894,355,3,2,2
356,26.842105263157894,356,4,3,3
357,26.842105263157894,357,3,2,2
358,26.842105263157894,358,3,2,2
359,26.842105263157894,359,4,3,3
360,28.42105263157895,360,3,2,3
361,28.42105263157895,361,3,2,3
362,28.42105263157895,362,3,2,3
363,28.42105263157895,363,4,3,3
364,28.42105263157895,364,3,2,2
365,28.42105263157895,365,3,2,3
366,28.42105263157895,366,3,2,3
367,28.42105263157895,367,4,3,3
368,28.42105263157895,368,3,2,2
369,28.42105263157895,369,3,2,2
370,28.42105263157895,370,4,3,3
371,28.42105263157895,371,3,2,2
372,28.42105263157895,372,4,3,3
373,28.42105263157895,373,3,2,2
374,28.42105263157895,374,3,2,2
375,28.42105263157895,375,3,2,2
376,28.42105263157895,376,3,2,2
377,28.42105263157895,377,3,2,3
378,28.42105263157895,378,3,2,2
379,28.42105263157895,379,3,2,2
380,30.0,380,4,3,3
381,30.0,381,3,2,2
382,30.0,382,3,2,3
383,30.0,383,3,2,2
384,30.0,384,3,2,2
385,30.0,385,4,3,3
386,30.0,386,3,2,2
387,30.0,387,3,2,2
388,30.0,388,3,2,3
389,30.0,389,3,2,2
390,30.0,390,4,3,3
391,30.0,391,3,2,2
392,30.0,392,3,2,3
393,30.0,393,3,2,3
394,30.0,394,3,2,2
395,30.0,395,3,2,3
396,30.0,396,4,3,3
397,30.0,397,3,2,2
398,30.0,398,4,3,3
399,30.0,399,4,3,3
